Pavg,iid,datetime,h
119.74121166666669,16,2010-11-28,0.0
119.41520333333334,16,2010-11-28,1.0
93.52314666666668,16,2010-11-28,2.0
110.50901166666668,16,2010-11-28,3.0
120.622085,16,2010-11-28,4.0
145.4953534482759,16,2010-11-28,5.0
115.96964333333334,16,2010-11-28,6.0
88.49246166666664,16,2010-11-28,7.0
105.66571999999998,16,2010-11-28,8.0
96.34846833333334,16,2010-11-28,9.0
92.41353166666666,16,2010-11-28,10.0
185.8798666666667,16,2010-11-28,11.0
174.47506666666666,16,2010-11-28,12.0
258.975325,16,2010-11-28,13.0
101.20070333333334,16,2010-11-28,14.0
88.15687666666668,16,2010-11-28,15.0
108.438415,16,2010-11-28,16.0
87.74727166666665,16,2010-11-28,17.0
159.76209,16,2010-11-28,18.0
277.28254000000004,16,2010-11-28,19.0
196.54495,16,2010-11-28,20.0
367.06265,16,2010-11-28,21.0
351.81738333333334,16,2010-11-28,22.0
208.81812,16,2010-11-28,23.0
119.55516,16,2010-11-29,0.0
90.75802666666664,16,2010-11-29,1.0
94.42656333333336,16,2010-11-29,2.0
101.91038999999998,16,2010-11-29,3.0
82.85857166666668,16,2010-11-29,4.0
106.99823620689656,16,2010-11-29,5.0
92.220205,16,2010-11-29,6.0
131.89566333333337,16,2010-11-29,7.0
221.75124,16,2010-11-29,8.0
138.40583166666667,16,2010-11-29,9.0
91.6806833333333,16,2010-11-29,10.0
108.73558666666668,16,2010-11-29,11.0
85.47027833333335,16,2010-11-29,12.0
95.20709333333336,16,2010-11-29,13.0
101.43946333333332,16,2010-11-29,14.0
82.98985333333333,16,2010-11-29,15.0
100.11915166666668,16,2010-11-29,16.0
141.44950666666668,16,2010-11-29,17.0
210.82936206896557,16,2010-11-29,18.0
303.8514166666666,16,2010-11-29,19.0
250.15705,16,2010-11-29,20.0
262.2626,16,2010-11-29,21.0
439.7045166666667,16,2010-11-29,22.0
395.7629,16,2010-11-29,23.0
153.68351,16,2010-11-30,0.0
148.39571166666667,16,2010-11-30,1.0
117.65319666666667,16,2010-11-30,2.0
130.1756883333333,16,2010-11-30,3.0
126.85343166666668,16,2010-11-30,4.0
114.31669827586208,16,2010-11-30,5.0
138.55133833333332,16,2010-11-30,6.0
117.944085,16,2010-11-30,7.0
225.77346666666668,16,2010-11-30,8.0
271.75320833333336,16,2010-11-30,9.0
532.5476033333333,16,2010-11-30,10.0
394.36049500000007,16,2010-11-30,11.0
375.57135,16,2010-11-30,12.0
459.28645,16,2010-11-30,13.0
434.2749733333333,16,2010-11-30,14.0
113.50410483333332,16,2010-11-30,15.0
117.89213,16,2010-11-30,16.0
177.443515,16,2010-11-30,17.0
167.83156666666673,16,2010-11-30,18.0
123.44932999999996,16,2010-11-30,19.0
256.40326666666664,16,2010-11-30,20.0
339.2970666666667,16,2010-11-30,21.0
238.8409333333333,16,2010-11-30,22.0
244.40755,16,2010-11-30,23.0
191.299725,16,2010-12-01,0.0
196.78287833333337,16,2010-12-01,1.0
177.44006499999998,16,2010-12-01,2.0
104.7477933333333,16,2010-12-01,3.0
132.62156833333333,16,2010-12-01,4.0
104.79414385964913,16,2010-12-01,5.0
106.187465,16,2010-12-01,6.0
129.85768833333336,16,2010-12-01,7.0
98.602975,16,2010-12-01,8.0
113.11674166666668,16,2010-12-01,9.0
184.70998666666668,16,2010-12-01,10.0
279.15755,16,2010-12-01,11.0
897.9602833333333,16,2010-12-01,12.0
332.26154999999994,16,2010-12-01,13.0
147.16219833333332,16,2010-12-01,14.0
128.75426000000002,16,2010-12-01,15.0
107.19315333333331,16,2010-12-01,16.0
177.44794499999998,16,2010-12-01,17.0
178.28980333333337,16,2010-12-01,18.0
108.760765,16,2010-12-01,19.0
275.98921,16,2010-12-01,20.0
370.3570833333334,16,2010-12-01,21.0
315.96823333333333,16,2010-12-01,22.0
719.2700333333335,16,2010-12-01,23.0
875.9525033333334,16,2010-12-02,0.0
103.84979,16,2010-12-02,1.0
124.25139833333331,16,2010-12-02,2.0
107.54501666666664,16,2010-12-02,3.0
102.14639166666666,16,2010-12-02,4.0
125.37673333333332,16,2010-12-02,5.0
98.620955,16,2010-12-02,6.0
127.90088,16,2010-12-02,7.0
233.08103333333332,16,2010-12-02,8.0
201.7922,16,2010-12-02,9.0
183.30212666666665,16,2010-12-02,10.0
116.65953833333334,16,2010-12-02,11.0
110.16119,16,2010-12-02,12.0
132.73337333333333,16,2010-12-02,13.0
101.09609,16,2010-12-02,14.0
115.58569666666668,16,2010-12-02,15.0
119.15745833333332,16,2010-12-02,16.0
108.17325833333332,16,2010-12-02,17.0
243.97806666666665,16,2010-12-02,18.0
232.5753333333333,16,2010-12-02,19.0
230.9741333333333,16,2010-12-02,20.0
280.1847333333333,16,2010-12-02,21.0
253.1738333333333,16,2010-12-02,22.0
249.05748333333332,16,2010-12-02,23.0
166.2953516666667,16,2010-12-03,0.0
195.40635666666665,16,2010-12-03,1.0
147.26482,16,2010-12-03,2.0
119.91018166666666,16,2010-12-03,3.0
123.45162166666668,16,2010-12-03,4.0
123.48869298245612,16,2010-12-03,5.0
106.30476833333334,16,2010-12-03,6.0
146.24393666666666,16,2010-12-03,7.0
210.5583783333333,16,2010-12-03,8.0
129.2882416666667,16,2010-12-03,9.0
128.105825,16,2010-12-03,10.0
103.05149333333334,16,2010-12-03,11.0
133.89064666666667,16,2010-12-03,12.0
112.19095833333336,16,2010-12-03,13.0
113.199475,16,2010-12-03,14.0
136.56642333333332,16,2010-12-03,15.0
197.9577183333333,16,2010-12-03,16.0
235.36793333333333,16,2010-12-03,17.0
265.77925,16,2010-12-03,18.0
123.45799,16,2010-12-03,19.0
136.36100166666668,16,2010-12-03,20.0
278.5826066666666,16,2010-12-03,21.0
256.2010333333334,16,2010-12-03,22.0
252.72906666666665,16,2010-12-03,23.0
154.6353166666667,16,2010-12-04,0.0
125.65871500000002,16,2010-12-04,1.0
117.74162666666668,16,2010-12-04,2.0
101.47678,16,2010-12-04,3.0
132.56649166666668,16,2010-12-04,4.0
106.06468793103448,16,2010-12-04,5.0
106.91993333333336,16,2010-12-04,6.0
130.14828,16,2010-12-04,7.0
198.8685133333333,16,2010-12-04,8.0
231.137935,16,2010-12-04,9.0
134.39623333333333,16,2010-12-04,10.0
235.72395,16,2010-12-04,11.0
380.4210333333333,16,2010-12-04,12.0
118.07734166666668,16,2010-12-04,13.0
114.14234833333332,16,2010-12-04,14.0
305.07267500000006,16,2010-12-04,15.0
245.46321666666665,16,2010-12-04,16.0
236.6698,16,2010-12-04,17.0
179.4895966666667,16,2010-12-04,18.0
241.6500166666667,16,2010-12-04,19.0
612.7866166666665,16,2010-12-04,20.0
1124.1459166666666,16,2010-12-04,21.0
330.5245833333333,16,2010-12-04,22.0
1601.267466666667,16,2010-12-04,23.0
1189.926275,16,2010-12-05,0.0
1251.36755,16,2010-12-05,1.0
1012.1249449999998,16,2010-12-05,2.0
1218.1148983333337,16,2010-12-05,3.0
1044.63972,16,2010-12-05,4.0
1160.3984631578949,16,2010-12-05,5.0
1059.924256666667,16,2010-12-05,6.0
1182.5072316666667,16,2010-12-05,7.0
1058.562325,16,2010-12-05,8.0
525.07284,16,2010-12-05,9.0
294.88415,16,2010-12-05,10.0
309.0240999999999,16,2010-12-05,11.0
224.6746833333333,16,2010-12-05,12.0
128.74274666666668,16,2010-12-05,13.0
119.61792333333332,16,2010-12-05,14.0
135.94764333333333,16,2010-12-05,15.0
104.18262833333333,16,2010-12-05,16.0
134.98,16,2010-12-05,17.0
113.95561666666669,16,2010-12-05,18.0
102.10398,16,2010-12-05,19.0
87.74064,16,2010-12-05,20.0
61.65035,16,2010-12-05,21.0
38.88126333333333,16,2010-12-05,22.0
82.76612166666663,16,2010-12-05,23.0
236.06596666666667,16,2010-12-06,0.0
178.1135633333333,16,2010-12-06,1.0
114.99520499999998,16,2010-12-06,2.0
133.71843333333334,16,2010-12-06,3.0
110.88720166666666,16,2010-12-06,4.0
123.96696949152545,16,2010-12-06,5.0
116.30318833333332,16,2010-12-06,6.0
126.91925166666668,16,2010-12-06,7.0
286.88065,16,2010-12-06,8.0
126.45847833333336,16,2010-12-06,9.0
135.30284666666665,16,2010-12-06,10.0
109.62939166666666,16,2010-12-06,11.0
120.70715833333333,16,2010-12-06,12.0
120.28037333333332,16,2010-12-06,13.0
169.21114333333333,16,2010-12-06,14.0
178.40389166666668,16,2010-12-06,15.0
110.7832,16,2010-12-06,16.0
137.65977166666664,16,2010-12-06,17.0
160.87352333333334,16,2010-12-06,18.0
248.07781666666665,16,2010-12-06,19.0
793.7484166666667,16,2010-12-06,20.0
482.7083166666667,16,2010-12-06,21.0
266.1840833333333,16,2010-12-06,22.0
261.3645333333333,16,2010-12-06,23.0
145.70469666666665,16,2010-12-07,0.0
151.1460066666667,16,2010-12-07,1.0
125.84264333333334,16,2010-12-07,2.0
137.76611333333332,16,2010-12-07,3.0
204.310065,16,2010-12-07,4.0
165.70104655172412,16,2010-12-07,5.0
146.9530516666667,16,2010-12-07,6.0
138.77033166666666,16,2010-12-07,7.0
313.07238333333333,16,2010-12-07,8.0
874.5940483333331,16,2010-12-07,9.0
1573.1124000000002,16,2010-12-07,10.0
286.61541666666665,16,2010-12-07,11.0
444.4329000000001,16,2010-12-07,12.0
594.9731,16,2010-12-07,13.0
143.78095166666668,16,2010-12-07,14.0
124.54889,16,2010-12-07,15.0
126.42083166666666,16,2010-12-07,16.0
238.98669333333336,16,2010-12-07,17.0
290.9981833333334,16,2010-12-07,18.0
252.25181666666668,16,2010-12-07,19.0
131.95175,16,2010-12-07,20.0
99.80251333333334,16,2010-12-07,21.0
140.68703666666667,16,2010-12-07,22.0
90.85501666666666,16,2010-12-07,23.0
250.0052833333333,16,2010-12-08,0.0
117.30249666666668,16,2010-12-08,1.0
122.42199,16,2010-12-08,2.0
115.69044333333332,16,2010-12-08,3.0
115.85311,16,2010-12-08,4.0
122.33054561403507,16,2010-12-08,5.0
105.44690333333332,16,2010-12-08,6.0
180.24544666666665,16,2010-12-08,7.0
156.61601833333336,16,2010-12-08,8.0
132.84453333333332,16,2010-12-08,9.0
167.350825,16,2010-12-08,10.0
282.9755833333334,16,2010-12-08,11.0
272.2121833333333,16,2010-12-08,12.0
190.65008833333331,16,2010-12-08,13.0
141.18983666666665,16,2010-12-08,14.0
100.28677000000002,16,2010-12-08,15.0
130.0683,16,2010-12-08,16.0
112.559705,16,2010-12-08,17.0
121.52360833333334,16,2010-12-08,18.0
122.50916,16,2010-12-08,19.0
347.55789833333336,16,2010-12-08,20.0
552.2825666666666,16,2010-12-08,21.0
1158.7072833333334,16,2010-12-08,22.0
497.42065,16,2010-12-08,23.0
170.47593,16,2010-12-09,0.0
129.14090333333334,16,2010-12-09,1.0
117.33150666666668,16,2010-12-09,2.0
121.49516,16,2010-12-09,3.0
123.44436833333332,16,2010-12-09,4.0
114.41270000000002,16,2010-12-09,5.0
127.22735333333333,16,2010-12-09,6.0
116.56498000000002,16,2010-12-09,7.0
276.06423333333333,16,2010-12-09,8.0
118.536835,16,2010-12-09,9.0
134.26735833333333,16,2010-12-09,10.0
111.56733,16,2010-12-09,11.0
179.4213216666667,16,2010-12-09,12.0
178.59046500000002,16,2010-12-09,13.0
116.449545,16,2010-12-09,14.0
133.0584683333333,16,2010-12-09,15.0
104.97365666666666,16,2010-12-09,16.0
159.290795,16,2010-12-09,17.0
225.0479166666667,16,2010-12-09,18.0
248.16231666666667,16,2010-12-09,19.0
303.65005,16,2010-12-09,20.0
330.857295,16,2010-12-09,21.0
1127.7106333333331,16,2010-12-09,22.0
380.7443933333334,16,2010-12-09,23.0
81.60688,16,2010-12-10,0.0
75.77226999999998,16,2010-12-10,1.0
67.54723,16,2010-12-10,2.0
20.490334500000003,16,2010-12-10,3.0
16.018474916666666,16,2010-12-10,4.0
16.761907931034482,16,2010-12-10,5.0
20.405494,16,2010-12-10,6.0
23.217857166666665,16,2010-12-10,7.0
104.80817166666668,16,2010-12-10,8.0
183.110315,16,2010-12-10,9.0
103.43900833333332,16,2010-12-10,10.0
123.97554166666669,16,2010-12-10,11.0
115.3533883333333,16,2010-12-10,12.0
107.09820833333336,16,2010-12-10,13.0
132.05206333333334,16,2010-12-10,14.0
101.31479833333334,16,2010-12-10,15.0
123.30821666666668,16,2010-12-10,16.0
117.00939166666667,16,2010-12-10,17.0
229.66118999999995,16,2010-12-10,18.0
234.275185,16,2010-12-10,19.0
161.064635,16,2010-12-10,20.0
133.56589833333334,16,2010-12-10,21.0
219.09449166666667,16,2010-12-10,22.0
242.29051666666663,16,2010-12-10,23.0
207.4448316666667,16,2010-12-11,0.0
116.85076166666668,16,2010-12-11,1.0
134.39104666666668,16,2010-12-11,2.0
102.52758166666668,16,2010-12-11,3.0
128.90673166666664,16,2010-12-11,4.0
107.34322068965515,16,2010-12-11,5.0
114.38689,16,2010-12-11,6.0
122.11318666666666,16,2010-12-11,7.0
98.4706633333333,16,2010-12-11,8.0
130.79927833333332,16,2010-12-11,9.0
315.83959166666665,16,2010-12-11,10.0
387.15988333333337,16,2010-12-11,11.0
1302.2729333333334,16,2010-12-11,12.0
954.9627166666668,16,2010-12-11,13.0
402.8517166666666,16,2010-12-11,14.0
253.43685,16,2010-12-11,15.0
